,tsne_feature_1,tsne_feature_2,labels
345,-20.072016,-27.781065,0
346,-16.381039,-86.482254,0
347,-88.950935,-22.24366,0
348,29.88547,57.14525,0
349,-16.141518,-19.376087,0
350,69.64106,-50.05576,0
351,-51.85923,6.7375035,0
352,33.830738,57.273018,0
353,6.4572954,30.028206,0
354,-41.67201,-0.07423509,0
355,96.98809,-1.7661706,0
356,6.0330772,51.151203,0
357,42.90554,48.108788,0
358,-58.240364,1.2780426,0
359,-42.22336,-1.5738081,0
360,64.86739,21.599094,0
361,32.68671,20.15852,0
362,-42.15527,-67.29409,0
363,-8.206584,-43.15957,0
364,-4.259891,86.02732,0
365,26.50323,-7.3553967,0
366,26.465311,11.690771,0
367,52.9056,40.79351,0
368,22.806543,11.579793,0
369,22.915537,87.486176,0
370,-11.766567,-80.46988,0
371,-19.041416,-29.324593,0
372,-1.1215311,61.616386,0
373,47.30936,-1.6093558,0
374,50.987816,-46.377632,0
375,-22.164803,-62.433735,0
376,22.853476,88.6538,0
377,-50.809647,46.34899,0
378,27.867655,85.10626,0
379,45.11759,-12.2666445,0
380,-41.003845,77.80281,0
381,-54.241817,5.018281,0
382,65.49036,-51.306496,0
383,-42.899303,75.9516,0
384,-40.45065,77.93105,0
385,-43.070312,9.751385,0
386,66.94249,2.8595464,0
387,-47.04886,52.390007,0
388,-26.187756,-63.14943,0
389,63.590412,-17.279564,0
390,-1.7712443,61.49882,0
391,-3.8987956,-82.34215,0
392,18.602402,28.581505,0
393,-47.241974,51.7751,0
394,-21.765488,-27.610853,0
395,-25.872437,-26.14926,0
396,84.56107,-8.003798,0
397,33.264137,12.421163,0
398,24.162868,14.1891775,0
399,86.32448,-6.7818494,0
400,24.642353,87.082245,0
401,-16.264048,-39.319294,0
402,42.05119,66.72144,0
403,-82.45353,-28.559542,0
404,11.508861,-62.176395,0
405,47.109417,-81.746414,0
406,-57.61931,-70.116585,0
407,20.107256,14.515522,0
408,20.029572,25.32155,0
409,15.723435,-70.46366,0
410,-42.64233,70.49397,0
411,83.35192,-6.980377,0
412,40.29944,48.107815,0
413,-76.90029,0.4585261,0
414,-60.34228,50.933506,0
415,24.218462,13.050983,0
416,-10.773181,-49.63616,0
417,-57.549213,-12.762805,0
418,29.219492,57.92452,0
419,-20.347504,-27.690205,0
420,-17.973894,57.70057,0
421,27.980944,84.93119,0
