,tsne_feature_1,tsne_feature_2,tsne_feature_3,labels
69,6.400642,9.133285,-13.616038,1
70,-10.808067,5.5853944,13.967986,1
71,5.1171684,8.316508,-17.386084,1
72,8.175596,3.982689,-11.895075,1
73,-2.6817265,-11.032838,-7.54119,1
74,-2.6753066,14.795986,-3.027095,1
75,-23.236183,5.956994,-1.0110865,1
76,6.3213067,1.589526,-22.030155,1
77,12.090682,-3.0370996,10.081366,1
78,5.8135624,4.4037585,5.0866947,1
79,16.20997,-4.157176,-2.5782835,1
80,1.582094,-12.227946,-14.554563,1
81,16.276106,-0.24748825,12.016695,1
82,-6.188611,-15.9588995,4.453626,1
83,11.377854,-4.0838504,-17.399097,1
84,21.546309,-7.0456624,-3.125181,1
85,-6.81538,-8.5746975,-14.163252,1
86,-19.361748,7.8653235,-2.6295555,1
87,-22.258823,5.7707915,-1.3704603,1
88,19.383997,-2.6564248,-3.3858979,1
89,22.197071,-7.793691,-1.6503408,1
90,-21.104307,2.587297,-6.1723156,1
91,23.19053,1.514169,-6.8148093,1
92,1.767288,-10.589682,13.02156,1
93,13.434531,0.48969966,-19.36025,1
94,-5.8814583,-13.966941,-16.366909,1
95,-5.3933134,9.207522,2.3847117,1
96,-10.06546,21.627125,3.2911222,1
97,-19.363071,6.4526176,-6.291693,1
98,5.4736867,-3.3605132,-18.6877,1
99,0.26220798,7.601306,17.517693,1
100,-17.451233,4.031675,-1.54265,1
101,-7.039601,5.525658,9.132265,1
102,-6.179056,9.522722,3.2487905,1
103,-23.289436,5.933182,-0.562191,1
104,4.0107884,5.794062,19.835272,1
105,25.102364,4.1051116,-1.2797465,1
106,7.3147607,7.0027533,-12.515865,1
107,-3.6547341,7.2957454,3.3767684,1
108,-4.3241377,17.521227,-4.4268694,1
109,4.575662,8.490295,16.062737,1
110,-19.514214,6.771928,-0.89809537,1
111,-17.914427,0.69832456,-1.4545506,1
112,15.717936,-0.16683051,8.424595,1
113,-3.6580143,8.188409,6.2745476,1
114,-5.5582385,-4.349704,15.408974,1
115,-17.626612,-0.19326425,-14.844418,1
116,-1.4783138,-2.6351173,-22.846342,1
117,25.843464,3.2564542,-1.7949423,1
118,1.8042113,-8.974736,17.477468,1
119,11.299157,5.246011,5.013923,1
120,-10.021375,16.74984,3.700799,1
121,12.445177,0.59714323,-19.862223,1
122,-4.010928,-10.374745,-7.7027564,1
123,3.162499,4.3040805,-21.080496,1
124,3.4770195,-0.3566154,7.486382,1
125,0.19473325,6.9674635,15.865421,1
126,7.711563,-5.540577,-22.186707,1
127,14.357869,-2.803105,12.185637,1
128,10.54127,-8.7097845,-2.7750885,1
129,3.0754566,4.601386,18.894388,1
130,5.336282,6.727957,-17.512482,1
131,11.796888,-4.452631,-17.808182,1
132,1.6367751,5.2193804,-21.019033,1
133,-7.83841,15.960015,1.8606461,1
134,5.7268457,8.077167,-17.603828,1
135,1.4671563,5.3289504,12.693189,1
136,15.989598,-4.3851056,-7.0196066,1
137,3.4358957,-0.045190223,7.9757767,1
138,1.9888663,3.426136,-21.869516,1
139,-7.759291,10.530349,3.9925022,1
140,-17.801332,6.3661375,-2.117146,1
141,-0.2078112,19.402443,-6.164016,1
142,13.738369,-0.048486415,-16.422043,1
143,-19.62925,3.7121618,-15.034984,1
144,9.064327,3.4253128,-19.231512,1
145,15.915771,-4.352677,-6.9229693,1
146,24.296852,-3.4957635,-5.506793,1
147,12.432933,6.7776504,2.5079737,1
148,7.465972,3.3767085,-11.925769,1
149,-21.114502,5.1901484,-6.8128233,1
150,-8.1579,10.792198,4.14937,1
151,-17.626726,3.0097253,-6.086266,1
152,13.955159,3.7503111,5.9520097,1
153,26.645832,2.3402526,-3.2760572,1
154,-2.9721036,23.19249,-1.4316379,1
155,-21.510891,5.128939,-6.463407,1
156,1.2156291,20.647259,-4.6537905,1
157,2.417073,3.6537502,6.6185727,1
158,2.1998382,0.71604,7.3641744,1
159,6.5855007,9.484635,-13.356381,1
160,13.225632,-1.9386218,9.510258,1
161,-18.125433,0.9990152,-1.8368173,1
162,-2.0601625,-3.366164,23.462107,1
163,6.079605,3.6726599,-18.222801,1
164,12.61044,0.039829727,-18.681389,1
165,25.03208,-1.4498849,-7.2603025,1
166,-9.287922,6.1604357,9.880309,1
167,-1.4742289,-1.1929907,-22.394152,1
168,12.015705,-4.691338,-18.109283,1
169,-4.1975207,-16.780994,-11.623342,1
170,-2.2404447,-17.333683,-10.175372,1
171,-19.89795,3.3487978,-15.700096,1
172,13.373665,11.734197,5.2936954,1
173,7.3130136,8.063916,-13.9793215,1
174,-8.6994095,21.97139,2.9479713,1
175,1.8660619,4.2718287,-21.146872,1
176,11.985935,5.6399903,8.191672,1
177,-1.5014848,-0.13741009,-23.201632,1
178,3.0986698,4.6344075,19.044651,1
179,12.922374,-5.040853,-6.4285965,1
180,8.778833,8.548716,5.306871,1
181,19.9555,-2.5647817,-5.858329,1
182,2.906801,21.665298,-5.479923,1
183,4.377499,-9.024596,14.297691,1
184,-17.893074,3.0386803,-14.279137,1
185,0.1424075,-16.56903,-11.1664295,1
186,-16.521076,2.10522,-2.8293362,1
187,-20.406942,0.99809736,-13.129264,1
188,-0.33288231,-18.398361,-12.810165,1
189,-17.195467,3.454969,-6.1184855,1
190,2.838616,2.3766363,9.163065,1
191,6.6876082,-3.0180633,-21.332346,1
192,-5.040509,-7.96343,-16.217314,1
193,-17.876312,-0.10587199,-13.466108,1
194,-1.1820736,20.218046,-6.0643024,1
195,13.852062,-3.5573878,-4.324248,1
196,2.8156536,3.5218842,-20.084227,1
197,2.966332,-15.676176,-12.850447,1
198,-0.44748417,-17.316294,-12.168278,1
199,14.23098,3.453576,3.265999,1
200,15.448359,-5.4579964,-6.636211,1
201,-18.334362,1.534599,-13.42091,1
202,-5.0514083,21.007523,-0.53901917,1
203,-5.0476546,20.92654,-1.6687895,1
