,tsne_feature_1,tsne_feature_2,labels
123,-71.848145,-6.5334487,1
124,-5.2424297,27.491623,1
125,-28.414816,33.45795,1
126,-81.71709,9.024363,1
127,-24.167198,8.081234,1
128,30.10854,21.598719,1
129,-32.381405,27.973495,1
130,-63.329376,-4.1807556,1
131,-67.28882,15.440654,1
132,-71.13549,-7.083053,1
133,-4.3657494,-62.75516,1
134,-62.800346,-5.692769,1
135,-18.102423,28.877846,1
136,40.499043,25.665333,1
137,-5.6069026,26.903732,1
138,-73.82595,-6.3124223,1
139,7.391859,-39.25344,1
140,-39.086494,-55.11938,1
141,26.878773,-64.2484,1
142,-66.02234,12.284129,1
143,-56.016724,-39.36324,1
144,-66.89785,3.5354366,1
145,40.527985,25.618324,1
146,50.415936,39.175255,1
147,-4.2865167,-3.9751499,1
148,-53.193172,4.2753882,1
149,-53.63971,-58.67477,1
150,7.037549,-39.62678,1
151,-51.583565,-52.567055,1
152,-10.2467375,0.20691258,1
153,67.62449,35.898518,1
154,16.18377,-68.9583,1
155,-54.1895,-58.445164,1
156,26.09016,-61.64133,1
157,-1.8394771,23.091898,1
158,-4.192737,25.95163,1
159,-53.320206,-4.481029,1
160,-22.261591,0.4493258,1
161,-44.558403,-53.284122,1
162,-21.423304,68.605415,1
163,-65.51343,0.07383852,1
164,-67.50905,10.616879,1
165,53.618454,38.4929,1
166,-2.670244,-35.090202,1
167,-83.22254,-6.9981213,1
168,-67.80588,15.38882,1
169,23.821217,-12.420605,1
170,28.361586,-19.282955,1
171,-55.454113,-38.732353,1
172,8.636896,8.699342,1
173,-51.30922,-1.520415,1
174,5.437251,-72.77406,1
175,-72.8618,-6.781246,1
176,-6.936034,4.6955795,1
177,-82.312706,-8.130974,1
178,-32.535282,27.96225,1
179,38.02987,22.27558,1
180,-0.7969303,1.9173535,1
181,50.352325,32.06556,1
182,27.480175,-59.688778,1
183,-2.6683424,44.38601,1
184,-58.26146,-38.54157,1
185,30.718603,-21.087496,1
186,-45.68926,-51.312542,1
187,-59.69582,-41.430115,1
188,28.369736,-22.8398,1
189,-52.09041,-52.106983,1
190,-5.435127,23.256802,1
191,-79.12054,5.9439154,1
192,25.704165,-4.5627775,1
193,-61.56456,-39.248405,1
194,27.099188,-65.04306,1
195,41.434086,21.40559,1
196,-72.56892,-8.158745,1
197,40.878803,-25.952457,1
198,28.87153,-21.70065,1
199,-11.750592,-4.793942,1
200,39.52901,26.004139,1
201,-59.688427,-39.71783,1
202,11.787327,-70.1691,1
203,12.662946,-71.50282,1
204,59.01706,6.354048,1
205,-21.858786,1.8054256,1
206,15.595506,-62.22473,1
207,25.41827,50.02353,1
208,-79.83809,-7.758693,1
209,-4.6861086,-35.100822,1
210,5.0118895,-3.7962162,1
211,-5.3540354,-31.797693,1
212,40.24329,18.802315,1
213,2.0747972,-7.2104964,1
214,-12.904226,-4.5615582,1
215,-56.86797,-56.50351,1
216,59.88479,36.703876,1
217,-60.305626,-42.38064,1
218,-59.817326,-42.048225,1
219,-49.953194,-56.866135,1
220,-60.454365,-40.0658,1
221,26.674074,-14.083426,1
222,3.2707798,-33.3711,1
223,-11.212927,40.362232,1
224,68.300316,-16.0396,1
225,-54.2459,-54.56909,1
226,11.454923,-39.60651,1
227,24.42864,-12.827866,1
228,7.634168,5.3453383,1
229,-66.080635,15.568127,1
230,16.347279,-72.11715,1
231,-3.3755908,-6.890094,1
232,-10.3167715,0.2393494,1
233,-68.04309,4.2874913,1
234,38.550243,22.958614,1
235,7.9603004,-37.087387,1
236,44.464725,33.836773,1
237,42.888405,-6.451661,1
238,-64.41593,11.940708,1
239,-45.0886,-53.615093,1
240,26.761755,-23.00249,1
241,44.613422,-3.7145135,1
242,44.246124,-1.7223903,1
243,-60.783768,-42.03354,1
244,39.517284,-21.685991,1
245,-51.12559,33.594,1
246,5.0563607,-72.6321,1
247,-80.314896,-7.542481,1
248,-6.444825,-79.09026,1
249,57.537285,-42.216766,0
250,-79.9882,5.8252335,0
251,-20.574575,51.617245,0
252,0.81075794,-63.564274,0
253,81.53156,-6.2500553,0
254,-6.28117,22.958736,0
255,-26.503885,-2.017135,0
256,-53.52614,-58.59988,0
257,27.060432,-59.80648,0
258,-64.67641,1.1462647,0
259,-31.960812,27.309778,0
260,-44.756516,-50.285656,0
261,7.29592,-49.2391,0
262,-6.19745,-63.979485,0
263,4.6882505,-53.303413,0
264,71.91122,-14.343138,0
265,1.2039709,60.072,0
266,18.055244,-56.046383,0
267,-23.772152,33.15411,0
268,-45.191444,-58.71749,0
269,-51.86193,0.6279971,0
270,-60.44788,1.6451184,0
271,28.848364,-62.18179,0
272,39.03281,20.970278,0
273,-0.11741591,-4.51542,0
274,6.9309993,-5.939897,0
275,-10.250442,-26.374737,0
276,-36.660435,-23.904045,0
277,12.404773,-38.88114,0
278,12.110055,-37.57474,0
279,39.47783,34.658684,0
280,-23.289118,12.892116,0
281,-78.08935,11.587933,0
282,-19.954033,77.35752,0
283,-22.192114,10.024814,0
284,25.186264,41.993073,0
285,-6.479578,-63.957733,0
286,-6.37923,53.150063,0
287,-24.795025,11.671532,0
288,-22.779377,52.819637,0
289,68.32069,31.843197,0
290,16.321999,75.2276,0
291,61.954746,-41.43958,0
292,-51.531998,39.674076,0
293,41.003365,21.367737,0
294,-26.074951,-35.05358,0
295,-24.424639,34.619236,0
296,12.950982,-43.66466,0
297,-86.19432,-2.8768377,0
298,42.64626,-3.3121269,0
299,-8.496269,-75.29344,0
