,tsne_feature_1,tsne_feature_2,tsne_feature_3,labels
313,2.0404255,9.329267,-0.31485647,0.0
314,-8.373261,-8.114974,-10.98999,0.0
315,11.156584,6.0027566,16.911474,0.0
316,-20.496264,-13.37032,0.9112446,0.0
317,-12.714758,-2.8660362,-23.943926,0.0
318,-12.617267,-0.31793475,14.506567,0.0
319,20.119474,4.4822435,-8.896625,0.0
320,8.09195,-18.819246,14.210073,0.0
321,-2.5593565,-28.123518,11.259923,0.0
322,13.305743,-2.2427986,-7.039382,0.0
323,5.670223,-10.17722,-14.435492,0.0
324,0.43130085,-11.403889,9.576015,0.0
325,3.1359873,-20.881912,-5.2488565,0.0
326,-2.9325333,-8.617107,-21.515524,0.0
327,-0.5741807,-23.20641,8.789613,0.0
328,17.859827,-12.809077,7.818557,0.0
329,14.274692,-7.3388195,4.930026,0.0
330,11.715331,10.168909,-12.64723,0.0
331,-10.223642,-7.118763,-10.2515955,0.0
332,-9.109227,-17.17789,1.6954116,0.0
333,-2.7717736,7.191926,-10.784959,0.0
334,-13.785841,1.1254008,-6.400667,0.0
335,-2.243496,-26.97989,9.561432,0.0
336,-7.6709166,17.323458,-11.110572,0.0
337,4.4748936,0.7873113,24.767082,0.0
338,-14.196268,19.05364,12.103529,0.0
339,1.2904608,18.55129,3.5983794,0.0
340,6.240572,2.949982,-15.184264,0.0
341,-7.3106227,5.928755,2.0182855,0.0
342,8.21777,1.5432705,17.390833,0.0
343,-4.6276727,-14.248397,4.7088566,0.0
344,-1.5359168,10.721218,-20.7836,0.0
345,20.492016,3.0885324,-7.8916903,0.0
346,3.653767,-3.317949,-3.59314,0.0
347,2.1842885,26.496897,-4.7856894,0.0
348,19.180653,-7.9098196,8.0579815,0.0
349,23.59284,4.644086,-2.2958076,0.0
350,15.05116,14.405153,14.129818,0.0
351,1.4909055,5.967449,-13.537039,0.0
352,16.58787,-7.250767,6.7830534,0.0
353,1.5651599,19.552624,7.3795824,0.0
354,3.1636574,-1.9225988,-15.722943,0.0
355,-3.133922,-8.261255,-22.052542,0.0
356,-12.827004,-20.285923,-3.2260275,0.0
357,20.608177,-6.500785,-0.6510654,0.0
358,-11.3828,-9.455444,-0.0643461,0.0
359,3.270544,-2.42726,-14.417035,0.0
360,-8.232396,-7.0515904,-9.527078,0.0
361,2.1842883,11.999706,7.349235,0.0
362,12.455371,-15.091823,-7.0522294,0.0
363,14.062814,-3.2172735,-14.290354,0.0
364,-13.57608,-10.884802,7.056053,0.0
365,-9.653639,-1.2534609,18.552565,0.0
366,-2.606338,7.662606,4.7717514,0.0
367,22.285252,-6.9356427,7.0063915,0.0
368,-4.95381,6.9960065,2.9382722,0.0
369,15.862503,-2.3891146,22.234343,0.0
370,4.0090218,-5.324407,1.539141,0.0
371,21.042982,2.5200977,-9.310497,0.0
372,-12.116336,-14.706918,-1.7133512,0.0
373,-8.534786,6.683315,-6.6232734,0.0
374,-13.034343,21.93187,12.456437,0.0
375,-0.30610177,-10.613504,-7.033526,0.0
376,15.8361225,-1.8041542,23.090672,0.0
377,-0.40805987,-11.430762,14.7311325,0.0
378,15.598675,-0.2497504,18.481295,0.0
379,-10.571009,8.271326,-0.16663595,0.0
380,-1.5451319,-29.177868,8.741516,0.0
381,-0.51556516,4.996343,-12.251502,0.0
382,14.908654,10.8278675,15.017223,0.0
383,-1.6913896,-28.932985,10.776915,0.0
384,-1.4322321,-28.968819,8.32835,0.0
385,5.100851,3.9416192,-15.806293,0.0
386,-7.0267878,-13.158997,-13.183469,0.0
387,2.8188844,-7.6238256,13.893497,0.0
388,1.9061666,-12.1310835,-8.136027,0.0
389,-18.235888,12.913854,-12.21236,0.0
390,-11.754611,-14.22738,-1.9899415,0.0
391,5.3148217,-0.019793691,3.9078186,0.0
392,-1.7808002,16.137897,2.049504,0.0
393,2.345118,-7.575186,14.839696,0.0
394,19.393742,3.5905962,-8.105512,0.0
395,16.62453,5.307183,-7.1168804,0.0
396,-4.7682257,-15.4542265,-20.182104,0.0
397,0.91898054,6.795172,6.9880843,0.0
398,-2.4805102,7.5960274,2.3069434,0.0
399,-3.9892771,-14.67515,-18.755867,0.0
400,16.31393,-1.5446885,21.187403,0.0
401,19.249289,0.9780005,-14.421094,0.0
402,16.422918,-1.4129007,7.35157,0.0
403,5.8282857,28.323818,-0.14660071,0.0
404,-15.281271,0.51473004,-6.8773956,0.0
405,7.167933,4.3817897,21.913948,0.0
406,6.0563126,-9.3454895,-13.6492815,0.0
407,-3.478448,9.619241,3.1235368,0.0
408,-0.9908794,12.72816,2.9096224,0.0
409,-20.807985,-0.96776664,-4.564253,0.0
410,0.013506011,-25.949894,13.594713,0.0
411,-3.8179886,-16.633516,-20.093132,0.0
412,21.029049,-6.993491,1.5886796,0.0
413,-3.3093352,14.820568,-11.420065,0.0
414,-1.9465623,-14.017877,19.824596,0.0
415,-3.3252532,6.7892323,2.30531,0.0
416,16.579243,-2.8099554,-19.043604,0.0
417,5.611657,8.530845,-7.7104154,0.0
418,18.914736,-8.432585,8.653598,0.0
419,20.344822,3.2135985,-7.9090986,0.0
420,-5.02488,-10.1271715,6.70877,0.0
421,15.797613,-0.4831047,18.332573,0.0
422,-11.700548,-9.1383705,6.4739623,0.0
423,0.54464096,13.841991,-12.407383,0.0
424,2.1805882,1.76323,-24.00364,0.0
425,15.829313,-2.8636246,-20.935997,0.0
426,-3.056844,-8.323167,-21.770752,0.0
427,3.0297194,8.924041,0.41538134,0.0
428,1.6025168,6.9045534,-1.6457887,0.0
429,-11.579963,-15.184936,6.7364078,0.0
430,3.933856,1.8010123,19.814331,0.0
431,-1.3595811,-10.650986,-9.143308,0.0
432,-13.380245,21.81592,12.125575,0.0
433,-3.4846292,4.984394,12.813712,0.0
434,-4.4198866,-11.25957,0.8835242,0.0
435,0.5724675,4.7761803,-17.992147,0.0
436,11.294204,12.264487,-7.5256805,0.0
437,16.49403,-2.4101675,21.218775,0.0
438,10.254528,-11.998374,-9.100486,0.0
439,-11.548763,-15.441979,-13.437791,0.0
440,22.214367,1.8076243,-7.164475,0.0
441,19.317581,4.2719088,-8.269746,0.0
442,5.986197,-13.313591,-17.082336,0.0
443,8.600035,-15.00543,15.175825,0.0
444,-5.530729,-7.067281,-28.714367,0.0
445,-0.95448816,-23.670906,10.076219,0.0
446,-0.023295037,-11.982244,10.154489,0.0
447,0.5581975,7.528458,6.208139,0.0
448,-12.7886505,-12.06835,11.175886,0.0
449,-3.1958165,-11.217723,1.0020847,0.0
450,10.580227,6.1026545,19.01634,0.0
451,-2.8961146,-13.912932,20.199015,0.0
452,2.5463436,-7.4667134,14.217792,0.0
453,-16.277481,-9.856422,10.782732,0.0
454,-4.4146185,9.560307,4.7896585,0.0
455,-0.9067317,-6.2104297,11.764797,0.0
456,5.9184403,9.8833275,17.043394,0.0
457,-10.803903,-6.641438,-15.046015,0.0
458,-9.137276,-0.023320265,-5.6633267,0.0
459,16.561314,-1.712893,16.755827,0.0
460,15.810076,0.023962753,21.694313,0.0
461,14.44454,-2.845656,19.095842,0.0
462,14.435962,-4.1798534,4.7887754,0.0
463,2.819175,7.680262,9.516332,0.0
464,7.1480217,-2.262586,-0.033676837,0.0
465,1.2636167,0.26157954,4.5283647,0.0
466,-7.5250216,-5.50104,-16.109314,0.0
467,-14.077305,-11.412124,-22.74684,0.0
468,-9.629183,-8.446495,-11.696713,0.0
469,-13.116026,-8.038244,12.398194,0.0
470,7.110637,-2.6444643,0.033755966,0.0
471,18.808027,-8.377123,12.589454,0.0
472,3.1560173,10.322461,-0.76715183,0.0
473,-13.9070835,19.278759,13.3019085,0.0
474,22.475248,5.7549863,-12.284983,0.0
475,25.02202,-11.319469,-4.0577335,0.0
476,7.87868,-19.144602,14.730114,0.0
477,-4.8681574,-12.822092,4.5821896,0.0
478,2.5995626,28.017878,-5.6565022,0.0
479,-6.261544,-16.482946,-21.726095,0.0
480,-0.10996973,-10.88553,22.179262,0.0
481,-13.76101,1.3011101,-6.341801,0.0
482,4.9624524,2.6618395,21.377804,0.0
483,-1.5593444,-26.136963,8.788311,0.0
484,3.2730684,7.7523384,3.4079814,0.0
